16.0 きのう　何を　しましたか。,16.0,"kinou nani o shi mashi ta ka. 
Hôm qua anh/chị (đã) làm gì?"
16.1 。。。図書館へ　行って、本を　借りて、それから　友達に　会いました。,16.1,"... toshokan he okonatte, hon o kari te, sorekara tomodachi ni ai mashi ta. 
...Tôi đi thư viện, mượn sách, sau đó đi gặp bạn."
16.2 大学まで　どうやって　行きますか。,16.2,"daigaku made dou yatte iki masu ka. 
Chúng ta đến trường đại học bằng cách nào?"
16.3 。。。京都駅から　16番の　バスに　乗って、大学前で　降ります。,16.3,"... kyouto eki kara 16 ban no basu ni notte, daigakumae de ori masu. 
...Chúng ta lên xe buýt số 16 từ ga Tokyo, rồi xuống ở điểm đỗ Daigaku-mae."
16.4 国へ　帰ってから、何を　しますか。,16.4,"kuni he kaette kara, nani o shi masu ka. 
Anh/chị sẽ làm gì sau khi về nước?"
16.5 。。。父の　会社で　働きます。,16.5,"... chichi no kaisha de hataraki masu. 
...Tôi sẽ làm việc trong công ty của bố tôi."
16.6 サントスさんは　どの　人ですか。,16.6,"santosu san ha dono hito desu ka. 
Anh Santos là người nào?"
16.7 。。。あの　背が　高くて、髪が　黒い　人です。,16.7,"... ano se ga takaku te, kami ga kuroi hito desu. 
...Là người cao, tóc đen đó."
16.8 奈良は　どんな　町ですか。,16.8,"nara ha donna machi desu ka. 
Nara là thành phố như thế nào?"
16.9 。。。静かで、きれいな　町です。,16.9,"... shizuka de, kirei na machi desu. 
...Là thành phố yên tĩnh và đẹp."
16.10 あの　人は　だれですか。,16.10,"ano hito ha dare desu ka. 
Người kia là ai?"
16.11 。。。カリナさんです。　インドネシア人で、富士大学の　留学生です。,16.11,"... karina san desu. indoneshia jin de, fujidaigaku no ryuugakusei desu. 
...Là chị Karina. Người Indonesia, và là sinh viên của trường Đại học Fuji."
