わかります,"",understand
あります,"",have
すき,好き,like
きらい,嫌い,dislike
じょうず,上手,good at
へた,下手,poor at
りょうり,料理,"dish (cooked food), cooking"
のみもの,飲み物,drinks
スポーツ,"",sport
スポーツをします,"",play sports
やきゅう,野球,baseball
やきゅうをします,野球をします,play baseball
ダンス,"",dance
ダンスをします,"",dance
おんがく,音楽,music
ハンサム,"",handsome
きれい,"","beautiful, clean"
しずか,静か,quiet
にぎやか,"",lively
ゆうめい,有名,famous
しんせつ,親切,kind
げんき,元気,"healthy, sound, cheerful"
ひま,暇,free (time)
べんり,便利,convenient
すてき,"","fine, nice, wonderful"
おおきい,大きい,"big, large"
ちいさい,小さい,"small, little"
あたらしい,新しい,new
ふるい,古い,old (not of age)
いい,"",good
わるい,悪い,bad
あつい,厚い,hot
あつい,熱い,hot
さむい,寒い,cold (referring to temperature)
つめたい,冷たい,"cold (referring to touch, as a drink)"
むずかしい,難しい,difficult
やさしい,易しい,easy
たかい,高い,"expensive, tall, high"
やすい,安い,inexpensive
ひくい,低い,low
おもしろい,"",interesting
おいしい,"","delicious, tasty"
いそがしい,忙しい,busy
たのしい,楽しい,enjoyable
しろい,白い,white
くろい,黒い,black
あかい,赤い,red
あおい,青い,blue
さくら,桜,cherry (blossom)
やま,山,mountain
まち,町,"town, city"
たべもの,食べ物,food
くるま,車,"car, vehicle"
ところ,所,place
りょう,寮,dormitory
べんきょう,勉強,study
せいかつ,生活,life
しごと,仕事,"work, business"
しごとをします,仕事をおしさす,"do one's job, work"
どう,"",how
どんな～,"",what kind of ~
どれ,"",which one (of three or more)
とても,"",very
あまり,"",not so (used with negatives)
そして,"",and (used to connect sentences)
～が,"",but ~
おげんきですか,お元気ですか,How are you?
そうですね,"","Well, let me see (pausing)"
にほんのせいかつになれましたか,日本の生活に慣れましたか,Have you got used to the life in Japan?
～もいっぱいいかがですか,～も一杯いかがですか,Won't you have another cup of ~?
いいえ、けっこうです,"","No, thank you"
もう～ですね,"",It's already ~ (isn't it)
そろそろしつれいします,そろそろ失礼します,It's almost time to leave now
またいらっしゃってください,"",Please come again
うた,歌,song
クラシック,"",classical music
ジャズ,"",jazz
コンサート,"",concert
カラオケ,"",karaoke
かぶき,歌舞伎,Kabuki (traditional Japanese musical drama)
え,絵,"picture, drawing"
じ,字,"letter, character"
かんじ,漢字,Chinese characters
ひらがな,"",Hiragana script
かたかな,"",Katakana script
ローマじ,ローマ字,the Roman alpahabet
こまかいおかね,細かいお金,small change
チケット,"",ticket
じかん,時間,time
ようじ,用事,"something to do, errand"
やくそく,約束,"appointment, promise"
ごしゅじん,ご主人,(someone else's) husband
おっと,夫,(my) husband
しゅじん,主人,(my) husband
おくさん,奥さん,(someone else's) wife
つま,妻,(my) wife
かない,家内,(my) wife
こども,子ども,child
よく,"","well, much"
だいたい,"","mostly, roughly"
たくさん,"","many, much"
すこし,少し,"a little, a few"
ぜんぜん,全然,not at all (used with negatives)
はやく,早く,"early, quickly, fast"
はやく,速く,"early, quickly, fast"
～から,"",because ~
どうして,"",why
ざんねんです,残念です,I'm sorry (to hear that)That's a pity
すみません,"",I am sorry
もしもし,"",hello (used on phone)
ああ,"",oh
