そくたつ,việc gửi hỏa tốc/dịch vụ chuyển tin thư nhanh,TỐC ĐẠT,速達,TỐC ĐẠT,n
かつ,Chiến thắng,"",勝つ,"",  v
ちかごろ,gần đây,"CẬN, CẤN, KÍ KHOẢNH, KHUYNH, KHUỂ",近頃,"CẬN, CẤN, KÍ KHOẢNH, KHUYNH, KHUỂ",n
ふそく,khiếm khuyết,"BẤT, PHẦU, PHỦ, PHI TÚC",不足,"BẤT, PHẦU, PHỦ, PHI TÚC",n
むかえる,tiếp đón; đón nhận,NGHÊNH,迎える,NGHÊNH,v
きょうし,"Thầy, tiên sinh, giáo viên",GIÁO SƯ,教師,GIÁO SƯ,n
せいべつ,Giới tính,TÍNH BIỆT,性別,TÍNH BIỆT,n
しんさ,Thẩm tra,THẨM TRA,審査,THẨM TRA,v/n
ほうち,sự đặt để,"PHÓNG, PHỎNG TRÍ",放置,"PHÓNG, PHỎNG TRÍ",n
じもと,Địa phương,ĐỊA NGUYÊN,地元,ĐỊA NGUYÊN,n
しんき,"sự mới lạ,mới lạ,sự mới mẻ,mới mẻ",TÂN QUY,新規,TÂN QUY,n
いどう,"Di chuyển, dịch chuyển",DI ĐỘNG,移動,DI ĐỘNG, v/n
ほけん,Bảo hiểm,BẢO HIỂM,保険,BẢO HIỂM,n
しぜん,"Tự nhiên, thiên nhiên",TỰ NHIÊN,自然,TỰ NHIÊN, n
へいじつひらび,"ngày thường,hàng ngày","BÌNH, BIỀN NHẬT, NHỰT",平日,"BÌNH, BIỀN NHẬT, NHỰT",n
わたす,"Qua, đưa, phát","",渡す,"",v
こうしん,"Sự đổi mới, gia hạn",CANH TÂN,更新,CANH TÂN,n
にる,Giống như,"",似る,"",v
こうえん,"Sự diễn thuyết, sự thuyết trình",GIẢNG DIỄN,講演,GIẢNG DIỄN,n
とける,Tan chảy,"",溶ける,"",v
どうし,hội/nhóm,ĐỒNG SĨ,同士,ĐỒNG SĨ,n
じゅぎょう,Sự giảng dạy,THỤ NGHIỆP,授業,THỤ NGHIỆP,n
よしゅう,sự soạn bài,"DƯ, DỮ TẬP",予習,"DƯ, DỮ TẬP",n
かりる,"Vay mượn, giúp","",借りる,"",n
コーチ,coach's box,"",コーチ,"",n
しかる,gắt,"",叱る,"",
